property_id,property_url,purpose,type,added_on,furnishing,price,location,bed_bath_size,permit_number,agent_name,primary_image_url,breadcrumbs,amenities,description
Bayut - Haseeb..126,https://www.bayut.com/property/details-11999134.html,For Rent,Apartment,22-Jun-25,Furnished,"{'currency': 'AED', 'amount': '85,000'}",Al Satwa,"{'bedrooms': '2', 'bathrooms': '1', 'size': '885 sqft'}",,Haseeb Niazi,https://images.bayut.com/thumbnails/780792459-800x600.jpeg,,,
Bayut - 01JY486A6EYGD0DPAE6EHQMS43,https://www.bayut.com/property/details-11980547.html,For Rent,Townhouse,20-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '210,000'}",Dubai Hills Estate,"{'bedrooms': '2', 'bathrooms': '2', 'size': '1,632 sqft'}",,Shebul Miah,https://images.bayut.com/thumbnails/770153886-400x300.jpeg,,,
Bayut - 105512-oZWrL0,https://www.bayut.com/property/details-12051000.html,For Rent,Apartment,27-Jun-25,Furnished,"{'currency': 'AED', 'amount': '74,999'}",Jumeirah Village Circle (JVC),"{'bedrooms': '3', 'bathrooms': '3', 'size': '866 sqft'}",,Mohammed Khalid Al Sobaiei,https://images.bayut.com/thumbnails/781826565-800x600.jpeg,,,
Bayut - NAVEED- 13,https://www.bayut.com/property/details-12003055.html,For Rent,Apartment,23-Jun-25,Furnished,"{'currency': 'AED', 'amount': '85,000'}",Dubai Marina,"{'bedrooms': '1', 'bathrooms': '2', 'size': '750 sqft'}",,Anjali Vinod,https://images.bayut.com/thumbnails/780858454-800x600.jpeg,,,
Bayut - aero,https://www.bayut.com/property/details-12026909.html,For Rent,Villa,25-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '120,000'}",,"{'bedrooms': '3', 'bathrooms': '4', 'size': '2,800 sqft'}",,Ravinder Singh,,,,
Bayut - JAW-02,https://www.bayut.com/property/details-12027266.html,For Rent,Apartment,25-Jun-25,Furnished,"{'currency': 'AED', 'amount': '90,000'}",Sobha Hartland,"{'bedrooms': '1', 'bathrooms': '1', 'size': '492 sqft'}",,Hadeeba Abbass,https://images.bayut.com/thumbnails/781352089-800x600.jpeg,,,
Bayut - PROP-RES-EBP-2,https://www.bayut.com/property/details-12028436.html,For Rent,Apartment,25-Jun-25,Furnished,"{'currency': 'AED', 'amount': '58,000'}",Jumeirah Village Circle (JVC),"{'bedrooms': '3', 'bathrooms': '4', 'size': '405 sqft'}",,Wael Ben Abdallah,https://images.bayut.com/thumbnails/781368904-800x600.jpeg,,,
Bayut - RL-142738,https://www.bayut.com/property/details-12034441.html,For Rent,Apartment,25-Jun-25,Furnished,"{'currency': 'AED', 'amount': '225,000'}",Jumeirah Lake Towers (JLT),"{'bedrooms': '1', 'bathrooms': '1', 'size': '1,627 sqft'}",,Derek White,https://images.bayut.com/thumbnails/781489470-800x600.jpeg,,,
Bayut - 105512-eWJmfn,https://www.bayut.com/property/details-12050998.html,For Rent,Apartment,27-Jun-25,Furnished,"{'currency': 'AED', 'amount': '40,000'}",DAMAC Hills 2 (Akoya by DAMAC),"{'bedrooms': ""{'@type': 'QuantitativeValue', 'name': 'Bedroom(s)', 'value': '0'}"", 'bathrooms': '1', 'size': '430 sqft'}",,Mohammed Khalid Al Sobaiei,https://images.bayut.com/thumbnails/781826543-800x600.jpeg,,,
Bayut - UCFBYT-Z2-1BHKC,https://www.bayut.com/property/details-12056676.html,For Rent,Apartment,28-Jun-25,,"{'currency': 'AED', 'amount': '55,000'}",Arjan,"{'bedrooms': '1', 'bathrooms': '2', 'size': '715 sqft'}",,Mansoor Waheed Abdul Waheed,https://images.bayut.com/thumbnails/781914242-800x600.jpeg,,,
Bayut - AMB-VH-4BR-KHANS,https://www.bayut.com/property/details-12043712.html,For Rent,Villa,26-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '185,000'}",,"{'bedrooms': '4', 'bathrooms': '5', 'size': '8,364 sqft'}",,Adil Mushtaq,,,,
Bayut - evid/Amma/15739,https://www.bayut.com/property/details-12029620.html,For Rent,Apartment,25-Jun-25,,"{'currency': 'AED', 'amount': '82,999'}",Al Furjan,"{'bedrooms': '1', 'bathrooms': '2', 'size': '826 sqft'}",,Ammar Abbasi,https://images.bayut.com/thumbnails/781386918-800x600.jpeg,,,
Bayut - RRE-AH3-402,https://www.bayut.com/property/details-8793951.html,For Rent,Apartment,28-Jan-25,,"{'currency': 'AED', 'amount': '73,000'}",Al Satwa,"{'bedrooms': '1', 'bathrooms': '2', 'size': '840 sqft'}",,Gopal Narang,https://images.bayut.com/thumbnails/729430154-800x600.jpeg,,,
Bayut - UCFBYT-KBT-1BHK,https://www.bayut.com/property/details-11518338.html,For Rent,Apartment,01-May-25,Unfurnished,"{'currency': 'AED', 'amount': '51,000'}",Al Furjan,"{'bedrooms': '1', 'bathrooms': '1', 'size': '550 sqft'}",,Mansoor Waheed Abdul Waheed,https://images.bayut.com/thumbnails/776233432-800x600.jpeg,,,
Bayut - ABD/115-DC,https://www.bayut.com/property/details-11807959.html,For Rent,Apartment,31-May-25,,"{'currency': 'AED', 'amount': '80,000'}",Dubai Industrial City,"{'bedrooms': '1', 'bathrooms': '2', 'size': '1,093 sqft'}",,Abdul Muthalib,https://images.bayut.com/thumbnails/777220574-800x600.jpeg,,,
Bayut - AR-196,https://www.bayut.com/property/details-12000749.html,For Rent,Apartment,23-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '130,000'}",Dubai Hills Estate,"{'bedrooms': '1', 'bathrooms': '2', 'size': '915 sqft'}",,,https://images.bayut.com/thumbnails/780830217-800x600.jpeg,,,
Bayut - UberHomes-982,https://www.bayut.com/property/details-11868719.html,For Rent,Villa,09-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '200,000'}",,"{'bedrooms': '4', 'bathrooms': '4', 'size': '1,295 sqft'}",,Anu Lalvanii (Aparajita Aurora),,,,
Bayut - UberHomes-981,https://www.bayut.com/property/details-11863733.html,For Rent,Villa,09-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '175,000'}",,"{'bedrooms': '3', 'bathrooms': '4', 'size': '2,005 sqft'}",,Anu Lalvanii (Aparajita Aurora),,,,
Bayut - 6775-oPzBZ7,https://www.bayut.com/property/details-11913685.html,For Rent,Villa,13-Jun-25,,"{'currency': 'AED', 'amount': '125,000'}",,"{'bedrooms': '3', 'bathrooms': '5', 'size': '1,946 sqft'}",,Tariq Said,,,,
Bayut - 10278-6pAJ9L,https://www.bayut.com/property/details-11904350.html,For Rent,Apartment,12-Jun-25,Furnished,"{'currency': 'AED', 'amount': '58,000'}",Jumeirah Village Circle (JVC),"{'bedrooms': ""{'@type': 'QuantitativeValue', 'name': 'Bedroom(s)', 'value': '0'}"", 'bathrooms': '1', 'size': '451 sqft'}",,Raunaq Ali Khan,https://images.bayut.com/thumbnails/779008072-800x600.jpeg,,,
Bayut - prestigedubai-13362644,https://www.bayut.com/property/details-11868167.html,For Rent,Apartment,09-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '280,000'}",Downtown Dubai,"{'bedrooms': '2', 'bathrooms': '3', 'size': '1,888 sqft'}",,Syed Ahmad,https://images.bayut.com/thumbnails/778429990-800x600.jpeg,,,
Bayut - 10278-sKKaZ4,https://www.bayut.com/property/details-11959905.html,For Rent,Apartment,18-Jun-25,Furnished,"{'currency': 'AED', 'amount': '175,000'}",Dubai Harbour,"{'bedrooms': '1', 'bathrooms': '1', 'size': '861 sqft'}",,Wajid Sabir,https://images.bayut.com/thumbnails/780027023-800x600.jpeg,,,
Bayut - UCFBYT-BURJ3-1BHK4,https://www.bayut.com/property/details-11982129.html,For Rent,Apartment,20-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '56,000'}",Arjan,"{'bedrooms': '1', 'bathrooms': '1', 'size': '620 sqft'}",,Mansoor Waheed Abdul Waheed,https://images.bayut.com/thumbnails/780385756-800x600.jpeg,,,
Bayut - UCFBYT-BURJ3-1BHK3,https://www.bayut.com/property/details-11982234.html,For Rent,Apartment,20-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '56,000'}",Arjan,"{'bedrooms': '1', 'bathrooms': '2', 'size': '620 sqft'}",,Mansoor Waheed Abdul Waheed,https://images.bayut.com/thumbnails/780387498-800x600.jpeg,,,
Bayut - FP-R-11872,https://www.bayut.com/property/details-12000234.html,For Rent,Apartment,23-Jun-25,Furnished,"{'currency': 'AED', 'amount': '75,000'}",Majan,"{'bedrooms': '1', 'bathrooms': '2', 'size': '787 sqft'}",,Saddam Al-Mahasneh,https://images.bayut.com/thumbnails/780816899-800x600.jpeg,,,
Bayut - HF-R-2028,https://www.bayut.com/property/details-12011593.html,For Rent,Villa,23-Jun-25,Furnished,"{'currency': 'AED', 'amount': '84,999'}",,"{'bedrooms': '3', 'bathrooms': '4', 'size': '1,221 sqft'}",,Arshad Darbar,,,,
Bayut - UCFBYT-KBT-STUDIOA,https://www.bayut.com/property/details-12055989.html,For Rent,Apartment,28-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '42,000'}",Al Furjan,"{'bedrooms': '1', 'bathrooms': '2', 'size': '340 sqft'}",,Mansoor Waheed Abdul Waheed,https://images.bayut.com/thumbnails/781904489-800x600.jpeg,,,
Bayut - UCFBYT-KBT-STUDIO3,https://www.bayut.com/property/details-12056115.html,For Rent,Apartment,28-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '41,999'}",Al Furjan,"{'bedrooms': '1', 'bathrooms': '2', 'size': '340 sqft'}",,Mansoor Waheed Abdul Waheed,https://images.bayut.com/thumbnails/781906637-800x600.jpeg,,,
